template_name,display_name,field_id,field_display_name,field_type,enum_values
projects/PROJECT_ID/locations/us-central1/tagTemplates/etl,ETL,num_ingested,Number of rows-records ingested-processed during the most recent ETL job run,DOUBLE,
,,time_start_etl_job,Time stamp at the start of the most recent ETL job run,STRING,
,,num_warnings,Number of warnings encountered during the most recent ETL job run,DOUBLE,
,,data_quality_score,Data quality score for the the most recent ETL job run,DOUBLE,
,,time_end_etl_job,Time stamp at the end of last the most recent ETL job run,STRING,
,,status,Status of the most recent ETL job run,ENUM,Completed_Normal|Completed_Rerun|Incomplete_Errors|Incomplete_Interrupted|Running
,,num_cols,Number of columns in the data asset tagged with this template,DOUBLE,
,,num_read,Number of rows-records read during the most recent ETL job run,DOUBLE,
,,num_errors,Number of errors encountered during the most recent ETL job run,DOUBLE,
,,name,ETL job name of the most recent job run,STRING,
